Entity,Code,Year,Prevalence - Neoplasms - Sex: Both - Age: 70+ years (Number),Prevalence - Neoplasms - Sex: Both - Age: 50-69 years (Number),Prevalence - Neoplasms - Sex: Both - Age: 15-49 years (Number),Prevalence - Neoplasms - Sex: Both - Age: 5-14 years (Number),Prevalence - Neoplasms - Sex: Both - Age: Under 5 (Number)
Afghanistan,AFG,2015,8471.661397,18126.18313,41240.54383,7131.935851,7146.897466
Albania,ALB,2015,8532.966239,15456.53122,10356.16622,1192.040371,1284.91486
Algeria,DZA,2015,31393.88274,66087.09523,80478.16294,5781.482262,4464.759085
American Samoa,ASM,2015,72.55269226,211.9396257,178.0804214,5.063973016,6.201902434
Andean Latin America,,2015,95457.52927,132481.1389,88841.67002,4277.739332,8176.260618
Andorra,AND,2015,748.2312131,1104.009581,562.2045715,27.9070457,24.47211682
Angola,AGO,2015,5608.440326,19862.64284,24031.69975,1369.277472,5745.533236
Antigua and Barbuda,ATG,2015,329.8185705,541.8920466,225.3901474,5.847902001,12.4603307
Argentina,ARG,2015,144971.354,219732.7673,144194.8576,5109.782837,5587.671655
Armenia,ARM,2015,8087.589611,18987.46838,8107.128009,606.6667674,649.5212017
Australasia,,2015,419516.6105,485090.2822,184484.2424,12527.03482,11439.16978
Australia,AUS,2015,356560.8881,407002.7462,152836.2536,10207.59169,9465.718093
Austria,AUT,2015,103430.3008,126005.6574,49738.02151,2868.472126,2206.752599
Azerbaijan,AZE,2015,7578.871923,31017.50655,24813.9695,2561.581652,3027.079057
Bahamas,BHS,2015,1058.940728,2315.68793,1590.757362,20.56479388,30.20848053
Bahrain,BHR,2015,692.2901718,2856.243195,2629.928248,161.682975,124.27349
Bangladesh,BGD,2015,56263.62069,130200.4161,98788.666,0,7207.099703
Barbados,BRB,2015,2049.1425,2924.538076,1119.18904,19.07421769,20.60994409
Belarus,BLR,2015,39942.72632,93439.42313,43977.01089,4026.320582,4486.699824
Belgium,BEL,2015,132571.6167,160540.9542,54404.02543,3169.557345,3082.057785
Belize,BLZ,2015,323.6184867,678.7557152,623.2626441,27.19946995,37.56537408
Benin,BEN,2015,3634.305097,7476.245462,8094.070379,560.8631921,2796.799953
Bermuda,BMU,2015,637.5944576,701.1907517,192.3123771,10.1875312,14.69791452
Bhutan,BTN,2015,349.7672813,677.3104437,576.9138079,0,25.36809021
Bolivia,BOL,2015,14128.57078,23421.06223,14863.10538,728.7686809,1801.53742
Bosnia and Herzegovina,BIH,2015,15620.6521,31059.80782,13459.14665,877.7732371,675.0422954
Botswana,BWA,2015,1460.6155,3186.850771,2859.478506,81.12428774,107.821589
Brazil,BRA,2015,392820.3941,734465.9774,429517.5914,8351.023928,20218.76805
Brunei,BRN,2015,695.6403541,2606.671745,3864.92377,464.002727,298.057393
Bulgaria,BGR,2015,49651.96078,85450.01871,35337.98142,2251.45897,2245.634101
Burkina Faso,BFA,2015,6658.471611,15967.51176,19576.44959,1009.030075,6357.105563
Burundi,BDI,2015,2046.314512,7588.123438,8166.033776,546.7744954,2797.630465
Cambodia,KHM,2015,7804.57384,23551.07667,17095.26464,410.7559404,1083.410351
Cameroon,CMR,2015,9119.078533,21420.00332,21445.53079,1335.781409,5033.459502
Canada,CAN,2015,629702.8711,974006.4797,514029.662,30649.57525,14558.3751
Cape Verde,CPV,2015,601.7095117,734.0058191,701.4825834,28.89447179,90.78223442
Caribbean,,2015,148192.2487,214146.7673,102747.7598,3545.035028,6819.953051
Central African Republic,CAF,2015,936.4882746,4359.976403,4961.243465,217.7495772,978.8196365
Central Asia,,2015,70801.35854,231628.5638,187560.8714,19416.46105,24357.35808
Central Europe,,2015,769837.9108,1375576.984,587997.5332,40238.90582,33803.62801
